######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
apnic|ID|ipv6|2001:df0:bc::|48|20100817
apnic|ID|ipv6|2001:df0:bd::|48|20100903
apnic|AU|ipv6|2001:df0:be::|48|20100824
apnic|LA|ipv6|2001:df0:bf::|48|20100826
apnic|IN|ipv6|2001:df0:c0::|48|20100831
apnic|AU|ipv6|2001:df0:c1::|48|20100831
apnic|AU|ipv6|2001:df0:c2::|48|20100914
apnic|AU|ipv6|2001:df0:c4::|48|20100929
apnic|ID|ipv6|2001:df0:c5::|48|20100929
apnic|SG|ipv6|2001:df0:c6::|48|20100930
apnic|AU|ipv6|2001:df0:c7::|48|20101008
apnic|AU|ipv6|2001:df0:c8::|48|20101012
apnic|ID|ipv6|2001:df0:c9::|48|20101013
apnic|ID|ipv6|2001:df0:ca::|48|20101013
apnic|ID|ipv6|2001:df0:cb::|48|20101013
apnic|ID|ipv6|2001:df0:cc::|48|20101020
apnic|NZ|ipv6|2001:df0:cd::|48|20101020
apnic|AU|ipv6|2001:df0:ce::|48|20101027
apnic|JP|ipv6|2001:df0:cf::|48|20101101
apnic|NZ|ipv6|2001:df0:d1::|48|20101108
apnic|HK|ipv6|2001:df0:d2::|48|20101111
apnic|ID|ipv6|2001:df0:d3::|48|20101115
apnic|AU|ipv6|2001:df0:d4::|48|20101115
apnic|AU|ipv6|2001:df0:d5::|48|20101119
apnic|AU|ipv6|2001:df0:d6::|48|20101119
apnic|KR|ipv6|2001:df0:d7::|48|20101124
apnic|AU|ipv6|2001:df0:d8::|48|20101124
apnic|TW|ipv6|2001:df0:d9::|48|20101124
apnic|AU|ipv6|2001:df0:da::|48|20101126
apnic|HK|ipv6|2001:df0:db::|48|20101202
apnic|NZ|ipv6|2001:df0:dc::|48|20101206
apnic|AU|ipv6|2001:df0:dd::|48|20101208
apnic|ID|ipv6|2001:df0:de::|48|20101220
apnic|ID|ipv6|2001:df0:df::|48|20101220
apnic|AU|ipv6|2001:df0:e1::|48|20110104
apnic|ID|ipv6|2001:df0:e2::|48|20110105
apnic|HK|ipv6|2001:df0:e3::|48|20110105
apnic|AU|ipv6|2001:df0:e4::|48|20110105
apnic|AU|ipv6|2001:df0:e5::|48|20110114
apnic|IN|ipv6|2001:df0:e6::|48|20110114
apnic|AU|ipv6|2001:df0:e7::|48|20110118
apnic|AU|ipv6|2001:df0:e8::|48|20110118
apnic|ID|ipv6|2001:df0:e9::|48|20110120
apnic|AU|ipv6|2001:df0:ea::|48|20110120
apnic|JP|ipv6|2001:df0:eb::|48|20110121
apnic|ID|ipv6|2001:df0:ed::|48|20110121
apnic|MY|ipv6|2001:df0:ee::|48|20110124
apnic|NZ|ipv6|2001:df0:ef::|48|20110125
apnic|NZ|ipv6|2001:df0:f0::|48|20110126
apnic|AU|ipv6|2001:df0:f1::|48|20110201
apnic|ID|ipv6|2001:df0:f2::|48|20110202
apnic|AU|ipv6|2001:df0:f3::|48|20110202
apnic|ID|ipv6|2001:df0:f4::|48|20110202
apnic|AU|ipv6|2001:df0:f5::|48|20110204
apnic|NZ|ipv6|2001:df0:f6::|48|20110204
apnic|SG|ipv6|2001:df0:f7::|48|20110204
apnic|AU|ipv6|2001:df0:f8::|48|20110204
apnic|AU|ipv6|2001:df0:f9::|48|20110209
apnic|AU|ipv6|2001:df0:fa::|48|20110217
apnic|IN|ipv6|2001:df0:fb::|48|20110217
apnic|NZ|ipv6|2001:df0:fc::|48|20110222
apnic|AU|ipv6|2001:df0:fd::|48|20110222
apnic|AU|ipv6|2001:df0:fe::|48|20110222
apnic|AU|ipv6|2001:df0:100::|40|20101105
apnic|SG|ipv6|2001:df0:200::|48|20110225
apnic|AU|ipv6|2001:df0:201::|48|20110308
apnic|IN|ipv6|2001:df0:202::|48|20110308
apnic|ID|ipv6|2001:df0:203::|48|20110309
apnic|AU|ipv6|2001:df0:204::|48|20110309
apnic|ID|ipv6|2001:df0:205::|48|20110310
apnic|AU|ipv6|2001:df0:206::|48|20110316
apnic|IN|ipv6|2001:df0:207::|48|20110321
apnic|MY|ipv6|2001:df0:208::|48|20110322
apnic|AU|ipv6|2001:df0:209::|48|20110329
apnic|HK|ipv6|2001:df0:20a::|48|20110331
apnic|AU|ipv6|2001:df0:20b::|48|20110401
apnic|NF|ipv6|2001:df0:20c::|48|20110404
apnic|NZ|ipv6|2001:df0:20d::|48|20110404
apnic|AU|ipv6|2001:df0:20e::|48|20110404
apnic|AU|ipv6|2001:df0:20f::|48|20110404
apnic|NZ|ipv6|2001:df0:210::|48|20110405
apnic|AU|ipv6|2001:df0:211::|48|20110405
apnic|HK|ipv6|2001:df0:212::|48|20110410
apnic|AU|ipv6|2001:df0:213::|48|20110411
apnic|SG|ipv6|2001:df0:214::|48|20110412
apnic|AU|ipv6|2001:df0:215::|48|20110413
apnic|IN|ipv6|2001:df0:216::|48|20110414
apnic|IN|ipv6|2001:df0:217::|48|20110414
apnic|AU|ipv6|2001:df0:218::|48|20110415
apnic|AU|ipv6|2001:df0:219::|48|20110418
apnic|SG|ipv6|2001:df0:21a::|48|20110418
apnic|IN|ipv6|2001:df0:21b::|48|20110419
apnic|PH|ipv6|2001:df0:21c::|48|20110420
apnic|AU|ipv6|2001:df0:21d::|48|20110427
apnic|JP|ipv6|2001:df0:21e::|48|20110428
apnic|ID|ipv6|2001:df0:21f::|48|20110428
apnic|ID|ipv6|2001:df0:220::|48|20110503
apnic|VN|ipv6|2001:df0:221::|48|20110506
apnic|ID|ipv6|2001:df0:222::|48|20110506
apnic|AU|ipv6|2001:df0:224::|48|20110510
apnic|IN|ipv6|2001:df0:225::|48|20110516
apnic|AU|ipv6|2001:df0:226::|48|20110518
apnic|AU|ipv6|2001:df0:227::|48|20110523
apnic|AU|ipv6|2001:df0:228::|48|20110523
apnic|ID|ipv6|2001:df0:229::|48|20110524
apnic|AU|ipv6|2001:df0:22a::|48|20110527
apnic|HK|ipv6|2001:df0:22b::|48|20110527
apnic|NZ|ipv6|2001:df0:22c::|48|20110609
apnic|NZ|ipv6|2001:df0:22d::|48|20110609
apnic|HK|ipv6|2001:df0:22e::|48|20110609
apnic|HK|ipv6|2001:df0:22f::|48|20110614
apnic|ID|ipv6|2001:df0:230::|48|20110615
apnic|NZ|ipv6|2001:df0:231::|48|20110615
apnic|JP|ipv6|2001:df0:232::|48|20110616
apnic|AU|ipv6|2001:df0:233::|48|20110621
apnic|AU|ipv6|2001:df0:234::|48|20110705
apnic|ID|ipv6|2001:df0:235::|48|20110706
apnic|TH|ipv6|2001:df0:237::|48|20110711
apnic|AU|ipv6|2001:df0:238::|48|20110711
apnic|SG|ipv6|2001:df0:239::|48|20110711
apnic|ID|ipv6|2001:df0:23a::|48|20110712
apnic|PH|ipv6|2001:df0:23b::|48|20110718
apnic|AU|ipv6|2001:df0:23c::|48|20110718
apnic|AU|ipv6|2001:df0:23d::|48|20110719
apnic|IN|ipv6|2001:df0:23e::|48|20110721
apnic|ID|ipv6|2001:df0:23f::|48|20110725
apnic|AU|ipv6|2001:df0:240::|48|20110725
apnic|AU|ipv6|2001:df0:241::|48|20110809
apnic|ID|ipv6|2001:df0:242::|48|20110822
apnic|IN|ipv6|2001:df0:243::|48|20110823
apnic|AU|ipv6|2001:df0:245::|48|20110901
apnic|AU|ipv6|2001:df0:246::|48|20110902
apnic|NZ|ipv6|2001:df0:247::|48|20110907
apnic|TH|ipv6|2001:df0:248::|48|20110908
apnic|AU|ipv6|2001:df0:249::|48|20110913
apnic|AU|ipv6|2001:df0:24a::|48|20110915
apnic|NZ|ipv6|2001:df0:24b::|48|20110916
apnic|MY|ipv6|2001:df0:24c::|48|20110922
apnic|AU|ipv6|2001:df0:24e::|48|20110923
apnic|SG|ipv6|2001:df0:24f::|48|20110928
apnic|IN|ipv6|2001:df0:250::|48|20111003
apnic|AU|ipv6|2001:df0:251::|48|20111005
apnic|AU|ipv6|2001:df0:252::|48|20111006
apnic|IN|ipv6|2001:df0:253::|48|20111007
apnic|JP|ipv6|2001:df0:254::|48|20111013
apnic|ID|ipv6|2001:df0:255::|48|20111026
apnic|AU|ipv6|2001:df0:256::|48|20111026
apnic|ID|ipv6|2001:df0:257::|48|20111028
apnic|JP|ipv6|2001:df0:258::|48|20111101
apnic|SG|ipv6|2001:df0:259::|48|20111101
apnic|AU|ipv6|2001:df0:25a::|48|20111101
apnic|HK|ipv6|2001:df0:25b::|48|20111101
apnic|IN|ipv6|2001:df0:25c::|48|20111111
apnic|IN|ipv6|2001:df0:25d::|48|20111111
apnic|JP|ipv6|2001:df0:25e::|48|20111114
apnic|SG|ipv6|2001:df0:25f::|48|20111116
apnic|ID|ipv6|2001:df0:260::|48|20111122
apnic|NZ|ipv6|2001:df0:261::|48|20111123
apnic|AU|ipv6|2001:df0:262::|48|20111123
apnic|ID|ipv6|2001:df0:263::|48|20111202
apnic|IN|ipv6|2001:df0:264::|48|20111212
apnic|TH|ipv6|2001:df0:265::|48|20111212
apnic|JP|ipv6|2001:df0:266::|48|20111213
apnic|AU|ipv6|2001:df0:267::|48|20111214
apnic|ID|ipv6|2001:df0:268::|48|20111216
apnic|ID|ipv6|2001:df0:269::|48|20111219
apnic|AU|ipv6|2001:df0:26a::|48|20111220
apnic|AU|ipv6|2001:df0:26b::|48|20111222
apnic|SG|ipv6|2001:df0:26c::|48|20111223
apnic|ID|ipv6|2001:df0:26d::|48|20111223
apnic|ID|ipv6|2001:df0:26e::|48|20111228
apnic|ID|ipv6|2001:df0:26f::|48|20111229
apnic|IN|ipv6|2001:df0:270::|48|20111229
apnic|AU|ipv6|2001:df0:271::|48|20120104
apnic|MY|ipv6|2001:df0:272::|48|20120105
apnic|ID|ipv6|2001:df0:273::|48|20120109
apnic|NP|ipv6|2001:df0:274::|46|20120110
apnic|ID|ipv6|2001:df0:278::|48|20120110
apnic|PK|ipv6|2001:df0:279::|48|20120111
apnic|AU|ipv6|2001:df0:27a::|48|20120113
apnic|ID|ipv6|2001:df0:27b::|48|20120117
apnic|SG|ipv6|2001:df0:27c::|48|20120117
apnic|AU|ipv6|2001:df0:27d::|48|20120125
apnic|CN|ipv6|2001:df0:27e::|48|20120127
apnic|JP|ipv6|2001:df0:27f::|48|20120127
apnic|HK|ipv6|2001:df0:280::|44|20111230
apnic|KR|ipv6|2001:df0:290::|48|20120127
apnic|AU|ipv6|2001:df0:291::|48|20120127
apnic|ID|ipv6|2001:df0:292::|48|20120201
apnic|JP|ipv6|2001:df0:293::|48|20120201
apnic|AU|ipv6|2001:df0:294::|48|20120202
apnic|HK|ipv6|2001:df0:295::|48|20120202
apnic|HK|ipv6|2001:df0:296::|48|20120202
